year,property_type_label,transactions,median_price
1995,Detached,3203,91000.0
1995,Flat/Maisonette,4754,36250.0
1995,Semi-detached,3578,60000.0
1995,Terraced,3984,52125.0
1996,Detached,4169,94250.0
1996,Flat/Maisonette,5592,37000.0
1996,Semi-detached,4734,60000.0
1996,Terraced,5244,54000.0
1997,Detached,4755,108000.0
1997,Flat/Maisonette,7094,41000.0
1997,Semi-detached,4812,69950.0
1997,Terraced,5966,60000.0
1998,Detached,4134,120000.0
1998,Flat/Maisonette,7315,46000.0
1998,Semi-detached,4584,79000.0
1998,Terraced,5469,69000.0
1999,Detached,4803,132000.0
1999,Flat/Maisonette,8378,54000.0
1999,Semi-detached,5026,87000.0
1999,Terraced,6599,77000.0
2000,Detached,4126,160000.0
2000,Flat/Maisonette,8132,67950.0
2000,Semi-detached,4336,107000.0
2000,Terraced,5434,94500.0
2001,Detached,4365,176000.0
2001,Flat/Maisonette,8240,82000.0
2001,Semi-detached,5108,124950.0
2001,Terraced,6191,113500.0
2002,Detached,4670,215000.0
2002,Flat/Maisonette,8688,105000.0
2002,Semi-detached,5319,147500.0
2002,Terraced,6441,135000.0
2003,Detached,3779,249950.0
2003,Flat/Maisonette,7699,122950.0
2003,Semi-detached,4519,176000.0
2003,Terraced,5758,160000.0
2004,Detached,3957,261000.0
2004,Flat/Maisonette,7830,134000.0
2004,Semi-detached,4687,188950.0
2004,Terraced,5493,175000.0
2005,Detached,3105,275000.0
2005,Flat/Maisonette,6835,140000.0
2005,Semi-detached,3883,199995.0
2005,Terraced,4694,185000.0
2006,Detached,4222,285000.0
2006,Flat/Maisonette,8624,148000.0
2006,Semi-detached,5285,210000.0
2006,Terraced,5866,190000.0
2007,Detached,4007,317500.0
2007,Flat/Maisonette,8376,169950.0
2007,Semi-detached,4813,232500.0
2007,Terraced,5466,214000.0
2008,Detached,1921,320000.0
2008,Flat/Maisonette,3817,165000.0
2008,Semi-detached,2283,225000.0
2008,Terraced,2656,212500.0
2009,Detached,2648,275000.0
2009,Flat/Maisonette,3985,150000.0
2009,Semi-detached,3167,200000.0
2009,Terraced,2981,189000.0
2010,Detached,2805,315000.0
2010,Flat/Maisonette,4114,165000.0
2010,Semi-detached,2899,225000.0
2010,Terraced,3191,219950.0
2011,Detached,2724,305000.0
2011,Flat/Maisonette,4090,157000.0
2011,Semi-detached,3070,223000.0
2011,Terraced,3071,212500.0
2012,Detached,2818,318500.0
2012,Flat/Maisonette,4057,164000.0
2012,Semi-detached,3011,225500.0
2012,Terraced,3272,214000.0
2013,Detached,3164,320000.0
2013,Flat/Maisonette,4940,165000.0
2013,Semi-detached,3341,230000.0
2013,Terraced,3690,220000.0
2014,Detached,3565,353356.0
2014,Flat/Maisonette,6093,184000.0
2014,Semi-detached,3545,250000.0
2014,Terraced,4230,244950.0
2015,Detached,3403,375000.0
2015,Flat/Maisonette,6079,197500.0
2015,Semi-detached,3380,278000.0
2015,Terraced,3862,263975.0
2016,Detached,3264,407000.0
2016,Flat/Maisonette,5696,212000.0
2016,Semi-detached,3355,299950.0
2016,Terraced,3613,284995.0
2017,Detached,3199,423500.0
2017,Flat/Maisonette,4990,220000.0
2017,Semi-detached,3390,317500.0
2017,Terraced,3422,295000.0
2018,Detached,3043,430000.0
2018,Flat/Maisonette,4407,223400.0
2018,Semi-detached,3225,320000.0
2018,Terraced,3197,300000.0
2019,Detached,2918,430997.5
2019,Flat/Maisonette,4273,225000.0
2019,Semi-detached,3119,320000.0
2019,Terraced,3030,300000.0
2020,Detached,2918,455000.0
2020,Flat/Maisonette,3465,225000.0
2020,Semi-detached,2940,338750.0
2020,Terraced,2815,315000.0
2021,Detached,4196,495000.0
2021,Flat/Maisonette,5787,250000.0
2021,Semi-detached,4127,368000.0
2021,Terraced,4169,345000.0
2022,Detached,3190,550000.0
2022,Flat/Maisonette,5318,256725.0
2022,Semi-detached,3270,400000.0
2022,Terraced,3156,375000.0
2023,Detached,2560,532250.0
2023,Flat/Maisonette,3867,255000.0
2023,Semi-detached,2555,390000.0
2023,Terraced,2533,375000.0
2024,Detached,2879,526000.0
2024,Flat/Maisonette,3811,250000.0
2024,Semi-detached,3030,385000.0
2024,Terraced,2812,357750.0
2025,Detached,2564,520000.0
2025,Flat/Maisonette,3281,245000.0
2025,Semi-detached,2743,387500.0
2025,Terraced,2837,355000.0
2026,Detached,189,485000.0
2026,Flat/Maisonette,207,240000.0
2026,Semi-detached,200,405000.0
2026,Terraced,208,335000.0
